Address,State,County,City,Date Local,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/5/00,42.5,60,22,57
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/5/00,42.5,60,22,57
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/5/00,42.5,60,22,57
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/5/00,42.5,60,22,57
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/6/00,42.875,82,20,81
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/6/00,42.875,82,20,81
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/6/00,42.875,82,20,81
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/6/00,42.875,82,20,81
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/7/00,29,56,7,53
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/7/00,29,56,7,53
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/7/00,29,56,7,53
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/7/00,29,56,7,53
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/8/00,49.958333,87,20,86
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/8/00,49.958333,87,20,86
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/8/00,49.958333,87,20,86
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/8/00,49.958333,87,20,86
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/9/00,36.619048,55,7,52
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/9/00,36.619048,55,7,52
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/9/00,36.619048,55,7,52
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/9/00,36.619048,55,7,52
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/10/00,19.708333,34,1,32
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/10/00,19.708333,34,1,32
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/10/00,19.708333,34,1,32
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/10/00,19.708333,34,1,32
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/11/00,24.25,46,23,43
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/11/00,24.25,46,23,43
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/11/00,24.25,46,23,43
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/11/00,24.25,46,23,43
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/12/00,30.291667,49,1,46
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/12/00,30.291667,49,1,46
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/12/00,30.291667,49,1,46
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/12/00,30.291667,49,1,46
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/13/00,20.125,38,22,36
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/13/00,20.125,38,22,36
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/13/00,20.125,38,22,36
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/13/00,20.125,38,22,36
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/14/00,20.791667,49,21,46
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/14/00,20.791667,49,21,46
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/14/00,20.791667,49,21,46
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/14/00,20.791667,49,21,46
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/15/00,25.416667,54,21,51
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/15/00,25.416667,54,21,51
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/15/00,25.416667,54,21,51
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/15/00,25.416667,54,21,51
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/16/00,38.454545,63,21,61
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/16/00,38.454545,63,21,61
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/16/00,38.454545,63,21,61
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/16/00,38.454545,63,21,61
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/17/00,34.208333,57,10,54
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/17/00,34.208333,57,10,54
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/17/00,34.208333,57,10,54
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/17/00,34.208333,57,10,54
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/18/00,39.666667,60,21,57
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/18/00,39.666667,60,21,57
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/18/00,39.666667,60,21,57
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/18/00,39.666667,60,21,57
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/19/00,24,39,3,37
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/19/00,24,39,3,37
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/19/00,24,39,3,37
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/19/00,24,39,3,37
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/20/00,23.125,30,19,28
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/20/00,23.125,30,19,28
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/20/00,23.125,30,19,28
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/20/00,23.125,30,19,28
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/21/00,22.833333,42,19,40
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/21/00,22.833333,42,19,40
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/21/00,22.833333,42,19,40
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/21/00,22.833333,42,19,40
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/22/00,27.5,37,0,35
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/22/00,27.5,37,0,35
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/22/00,27.5,37,0,35
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/22/00,27.5,37,0,35
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/23/00,30.333333,53,11,50
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/23/00,30.333333,53,11,50
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/23/00,30.333333,53,11,50
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/23/00,30.333333,53,11,50
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/24/00,37.555556,64,23,62
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/24/00,37.555556,64,23,62
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/24/00,37.555556,64,23,62
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/24/00,37.555556,64,23,62
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/25/00,35.318182,55,20,52
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/25/00,35.318182,55,20,52
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/25/00,35.318182,55,20,52
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/25/00,35.318182,55,20,52
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/26/00,22.85,33,22,31
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/26/00,22.85,33,22,31
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/26/00,22.85,33,22,31
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/26/00,22.85,33,22,31
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/27/00,24.791667,41,21,39
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/27/00,24.791667,41,21,39
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/27/00,24.791667,41,21,39
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/27/00,24.791667,41,21,39
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/28/00,17.458333,32,19,30
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/28/00,17.458333,32,19,30
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/28/00,17.458333,32,19,30
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/28/00,17.458333,32,19,30
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/29/00,10.5,23,21,22
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/29/00,10.5,23,21,22
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/29/00,10.5,23,21,22
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/29/00,10.5,23,21,22
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/30/00,15.909091,32,22,30
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/30/00,15.909091,32,22,30
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/30/00,15.909091,32,22,30
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/30/00,15.909091,32,22,30
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/31/00,31.5,57,18,54
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/31/00,31.5,57,18,54
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/31/00,31.5,57,18,54
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/31/00,31.5,57,18,54
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/1/00,53.708333,103,21,101
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/1/00,53.708333,103,21,101
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/1/00,53.708333,103,21,101
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/1/00,53.708333,103,21,101
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/2/00,43.625,73,9,71
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/2/00,43.625,73,9,71
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/2/00,43.625,73,9,71
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/2/00,43.625,73,9,71
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/3/00,19.25,45,21,42
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/3/00,19.25,45,21,42
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/3/00,19.25,45,21,42
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/3/00,19.25,45,21,42
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/4/00,23.916667,41,4,39
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/4/00,23.916667,41,4,39
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/4/00,23.916667,41,4,39
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/4/00,23.916667,41,4,39
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/5/00,17.619048,33,0,31
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/5/00,17.619048,33,0,31
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/5/00,17.619048,33,0,31
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/5/00,17.619048,33,0,31
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/6/00,18.333333,30,8,28
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/6/00,18.333333,30,8,28
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/6/00,18.333333,30,8,28
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/6/00,18.333333,30,8,28
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/7/00,24.875,53,20,50
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/7/00,24.875,53,20,50
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/7/00,24.875,53,20,50
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/7/00,24.875,53,20,50
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/8/00,44.625,71,7,69
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/8/00,44.625,71,7,69
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/8/00,44.625,71,7,69
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/8/00,44.625,71,7,69
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/9/00,41.208333,61,23,58
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/9/00,41.208333,61,23,58
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/9/00,41.208333,61,23,58
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/9/00,41.208333,61,23,58
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/10/00,31.458333,56,0,53
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/10/00,31.458333,56,0,53
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/10/00,31.458333,56,0,53
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/10/00,31.458333,56,0,53
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/11/00,22.791667,36,18,34
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/11/00,22.791667,36,18,34
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/11/00,22.791667,36,18,34
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/11/00,22.791667,36,18,34
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/12/00,19.952381,31,2,29
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/12/00,19.952381,31,2,29
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/12/00,19.952381,31,2,29
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/12/00,19.952381,31,2,29
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/13/00,18.916667,27,6,25
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/13/00,18.916667,27,6,25
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/13/00,18.916667,27,6,25
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/13/00,18.916667,27,6,25
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/14/00,17.375,28,19,26
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/14/00,17.375,28,19,26
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/14/00,17.375,28,19,26
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/14/00,17.375,28,19,26
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/15/00,33.25,56,14,53
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/15/00,33.25,56,14,53
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/15/00,33.25,56,14,53
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/15/00,33.25,56,14,53
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/16/00,42.041667,64,19,62
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/16/00,42.041667,64,19,62
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/16/00,42.041667,64,19,62
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/16/00,42.041667,64,19,62
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/17/00,22.25,34,0,32
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/17/00,22.25,34,0,32
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/17/00,22.25,34,0,32
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/17/00,22.25,34,0,32
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/18/00,21.875,30,20,28
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/18/00,21.875,30,20,28
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/18/00,21.875,30,20,28
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/18/00,21.875,30,20,28
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/19/00,23.458333,43,21,41
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/19/00,23.458333,43,21,41
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/19/00,23.458333,43,21,41
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/19/00,23.458333,43,21,41
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/20/00,29.047619,42,20,40
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/20/00,29.047619,42,20,40
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/20/00,29.047619,42,20,40
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/20/00,29.047619,42,20,40
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/21/00,34.708333,50,7,47
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/21/00,34.708333,50,7,47
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/21/00,34.708333,50,7,47
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/21/00,34.708333,50,7,47
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/22/00,29.916667,41,21,39
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/22/00,29.916667,41,21,39
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/22/00,29.916667,41,21,39
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/22/00,29.916667,41,21,39
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/23/00,25.541667,43,23,41
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/23/00,25.541667,43,23,41
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/23/00,25.541667,43,23,41
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/23/00,25.541667,43,23,41
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/24/00,29,48,22,45
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/24/00,29,48,22,45
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/24/00,29,48,22,45
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/24/00,29,48,22,45
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/25/00,24.958333,38,20,36
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/25/00,24.958333,38,20,36
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/25/00,24.958333,38,20,36
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/25/00,24.958333,38,20,36
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/26/00,35.625,56,18,53
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/26/00,35.625,56,18,53
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/26/00,35.625,56,18,53
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/26/00,35.625,56,18,53
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/27/00,29.291667,41,0,39
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/27/00,29.291667,41,0,39
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/27/00,29.291667,41,0,39
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/27/00,29.291667,41,0,39
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/28/00,27.75,48,21,45
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/28/00,27.75,48,21,45
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/28/00,27.75,48,21,45
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/28/00,27.75,48,21,45
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/29/00,35.636364,50,21,47
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/29/00,35.636364,50,21,47
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/29/00,35.636364,50,21,47
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/29/00,35.636364,50,21,47
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/30/00,27.833333,49,0,46
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/30/00,27.833333,49,0,46
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/30/00,27.833333,49,0,46
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,6/30/00,27.833333,49,0,46
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/1/00,33.958333,75,21,73
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/1/00,33.958333,75,21,73
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/1/00,33.958333,75,21,73
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/1/00,33.958333,75,21,73
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/2/00,36.041667,79,22,78
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/2/00,36.041667,79,22,78
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/2/00,36.041667,79,22,78
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/2/00,36.041667,79,22,78
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/3/00,42.458333,69,20,67
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/3/00,42.458333,69,20,67
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/3/00,42.458333,69,20,67
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/3/00,42.458333,69,20,67
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/4/00,27.541667,48,0,45
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/4/00,27.541667,48,0,45
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/4/00,27.541667,48,0,45
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/4/00,27.541667,48,0,45
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/5/00,22.571429,37,20,35
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/5/00,22.571429,37,20,35
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/5/00,22.571429,37,20,35
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/5/00,22.571429,37,20,35
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/6/00,19.583333,35,19,33
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/6/00,19.583333,35,19,33
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/6/00,19.583333,35,19,33
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/6/00,19.583333,35,19,33
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/7/00,19.333333,24,0,23
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/7/00,19.333333,24,0,23
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/7/00,19.333333,24,0,23
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/7/00,19.333333,24,0,23
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/8/00,18.208333,40,23,38
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/8/00,18.208333,40,23,38
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/8/00,18.208333,40,23,38
200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,7/8/00,18.208333,40,23,38
